osd,file,keggOrg
OSD-120,OSD-120_Col0_GCvFLT_light.csv,ath
OSD-193,OSD-193_Col_0_Ground_Control_4_day_v_Col_0_Space_Flight_4_.csv,ath
OSD-208,OSD-208_ROOT_ZONE_I_0_5mm_v_ROOT_ZONE_II_1_5mm.csv,ath
OSD-217,OSD-217_leaf_Ground_Control_v_leaf_Space_Flight.csv,ath
OSD-218,OSD-218_Col_0_4_day_Ground_Control_v_Col_0_4_day_Space_Fli.csv,ath
OSD-251,OSD-251_Space_Flight_0_09G_v_Space_Flight_0_18G.csv,ath
OSD-281,OSD-281_Sku5_4_day_Ground_Control_v_Sku5_4_day_Space_Fligh.csv,ath
OSD-313,OSD-313_Nuc1_2_Mutant_48_hours_of_dark_v_Nuc1_2_Mutant_48_.csv,ath
OSD-314,OSD-314_Ground_Control_1G_on_Earth_Dark_Treatment_v_Space_.csv,ath
OSD-321,OSD-321_Ground_Control_bzip28_2_bzip60_1_v_Space_Flight_bz.csv,ath
OSD-346,OSD-346_Phytochrome_A_mutant_Space_Flight_0_1G_by_centrifu.csv,ath
OSD-37,OSD-37_Ground_Control_Col_0_v_Space_Flight_Col_0.csv,ath
OSD-38,OSD-38_FLT_v_GC.csv,ath
OSD-406,OSD-406_Col_0_Wild_Type_Ground_Control_Virgin_Galactic_Spa.csv,ath
OSD-427,OSD-427_elp2_5_Ground_control_leaf_v_elp2_5_Space_Flight_l.csv,ath
OSD-437,OSD-437_4_day_1G_by_centrifugation_Space_Flight_v_6_day_1G.csv,ath
OSD-476,OSD-476_Apollo_11_regolith_v_Apollo_12_regolith.csv,ath
OSD-498,OSD-498_10_minute_Cobalt_60_gamma_radiation_v_10_minute_no.csv,ath
OSD-502,OSD-502_myb3r135_Cobalt_60_gamma_radiation_v_myb3r135_non_.csv,ath
OSD-508,OSD-508_sog1_1_Cobalt_60_gamma_radiation_10_minute_v_sog1_.csv,ath
OSD-510,OSD-510_Cobalt_60_gamma_radiation_1440_minute_sog1_1_v_Cob.csv,ath
OSD-518,OSD-518_lazy1_mutant_45_minutes_after_90_degree_gravistimu.csv,ath
OSD-519,OSD-519_puchi_1_mutant_Lateral_root_and_surrounding_tissue.csv,ath
OSD-565,OSD-565_Plant_Leaves_Treatment_1_Not_Applicable_v_Plant_Le.csv,ath
OSD-658,OSD-658_mixed_radiation_40_centigray_v_mixed_radiation_80_.csv,ath
OSD-678,OSD-678_Col_0_Wild_Type_Ground_Control_Dark_Treatment_v_Co.csv,ath
OSD-782,OSD-782_cesium_137_gamma_radiation_10_centigray_1_hour_v_c.csv,ath
